rule_id,rule_family,base_rule_id,flip_policy,currency,closed_adr,final_open_unrealized_adr,flip_loss_adr,pair_count,mtm_adr,content_hash
LONG_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,,current_forced_flip_close,USD,6853.88278,-32.648522,0,7,6821.234258,89B8FDA0AC1598C1C5703F15A4BB3638394641547F804D7BCC8958C30B2447BA
LONG_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,,current_forced_flip_close,AUD,6845.691137,-20.820619,0,7,6824.870518,F4D858648E662F861AEEA669D585009D2DA3B36D0CDDFF43A666F67DCDB90C0A
LONG_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,,current_forced_flip_close,NZD,6904.373857,-55.547884,0,7,6848.825973,59079E84E265AE163FB9B1D9B0E0D7EA991CA48D3691DD68D52BC102148691DA
LONG_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,,current_forced_flip_close,JPY,6894.546159,-30.615073,0,7,6863.931086,03170B13DFF31DD3D3C2BE61A790800EC1220EF726BC6A57A984FCA8077D8704
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,AUD,2938.024191,-4204.592123,-3453.324976,7,-1266.567932,1A19A0504070C1CE7B2241D3E5761A0C23BC43647F9EA202F6197B2724884327
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,NZD,4500.628763,-3163.083657,-2065.408414,7,1337.545106,5F48600632CAB22EDC9ED7400AEAF3B59F9814AE963481BEBF771F91F8F9350A
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,JPY,2424.919498,-840.545736,-3696.746152,7,1584.373762,2EA1FDB21002D924B2C4719E5302313A852658F7A5A029D18A2D9FA2936AA99E
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,CHF,2970.169277,-53.002303,-3247.461696,7,2917.166974,B9CC4A4020F57039164148E6E4382D3B0081D47A508910E644F220007C9CC593
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,USD,3410.309816,-194.185849,-2752.013004,7,3216.123967,CDEF658E273187701AE98800BC8DA6C66EB4E443C49302765B1414A431A8BEDF
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,GBP,4131.461397,-347.605165,-2152.105933,7,3783.856232,A47A59185B0DDDE8CC45BF8E195434F7BDB394415DF3D6974CD36D02F8952E65
