rule_id,rule_family,base_rule_id,flip_policy,close_reason_bucket,event_count,adr,loss_adr,win_count,loss_count,median_event_adr,worst_event_adr,average_age_hours,content_hash
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__NO_FLIP_FORCE_DIAGNOSTIC,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,no_flip_force_no_new_fills,warehouse_recovery,331,108.288981,0,331,0,0.093337,0,1379.566415,7690E21AE4DD2D3C39C4FF016F02843BFA969FAD2D5C382C6C9021E35158B0CC
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__NO_FLIP_FORCE_DIAGNOSTIC,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,no_flip_force_no_new_fills,candidate_b_flip_close,58,64.247153,0,58,0,0.583468,0,92.758046,EDB9D40B4AA56091A3F7754E6A1767D7AC662C67BA594AC811DBFF67AE6B531E
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__NO_FLIP_FORCE_DIAGNOSTIC,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,no_flip_force_no_new_fills,data_end_open_inventory,32,-7708.728467,-7708.953871,1,31,-24.066837,-2073.0693,10065.648437,C2EC8D799FC787681676840F5F3C9CD9564C2883BC1919741CB9B84B9611D85B
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,target_reset_close,35591,39427.497247,0,35591,0,1.04084,0,26.17859,351D8C557A94AFC01E8AFEA23D12C04259B6FB5BF7AF6677F1AC14FF26F026B5
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,terminal_reset_limit_close,12909,14443.456898,0,12909,0,1.044405,0,19.836513,45F7C63FA71E97BAAE826D84E0FA31E28B80E5DDC6851FFB1EC7EAEEDA940F8D
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,data_end_open_inventory,7976,-53317.305346,-53603.620104,978,6993,-3.082809,-120.167048,64.581438,EAD4104EA3DE8A72C4CA2B730E7E4B38B734CD952278E84D48FC5674F258A17F
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_NO_LIMIT_REFERENCE,fully_hedged_reference,,current_forced_flip_close,target_reset_close,74186,82805.435182,0,74186,0,1.044157,0,20.73729,945D1565F970FAA0C20B8CA15CA18E2CEDE8D25116875E4B0A4943721F529F19
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_NO_LIMIT_REFERENCE,fully_hedged_reference,,current_forced_flip_close,data_end_open_inventory,20874,-84551.01102,-85754.722864,4361,16445,-0.98757,-245.251424,37.054528,DAF1DBF7FB9B80C2D390DDDF8949E2D16A6789D38A80ADA1434923B988F05FD9
LONG_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,,current_forced_flip_close,target_reset_close,17964,19820.619808,0,17964,0,1.039034,0,25.759156,ED0FC61DB651FFC3F672E1422322AFD88A5F173B72EBD69A1A395ABAA81D70F7
LONG_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,,current_forced_flip_close,terminal_reset_limit_close,6580,7382.103349,0,6580,0,1.042391,0,20.020816,D4064DB2AB4A441E03EC05506F4B929EFD3CF67D77337C5F63F854B51773F687
LONG_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,,current_forced_flip_close,data_end_open_inventory,3862,-26624.882945,-26768.4942,487,3373,-3.064255,-120.167048,64.560116,7EBF2BD003D436AE440C7C1D6B0923276080E04F0E07954876803301C45F5EC1
SHORT_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,,current_forced_flip_close,target_reset_close,17627,19606.877439,0,17627,0,1.042711,0,26.606042,CDE9B9E969AEBBC5C7CC632269BA2A30821BB41216414AA6B39A9EEDB535F2FE
SHORT_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,,current_forced_flip_close,terminal_reset_limit_close,6329,7061.353549,0,6329,0,1.046079,0,19.644902,C4C8C54AB61CA9E45A8EB4C24BF1497FDF80CCE8E868B15FD2D7ED7D8B06734A
SHORT_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,,current_forced_flip_close,data_end_open_inventory,4114,-26692.422401,-26835.125904,491,3620,-3.095249,-113.73468,64.601454,0383E0444D284A74F8AAA19CF7695670E035D982E9448206BAEE5FE3CA8421D9
DETERMINISTIC_RANDOM_SIDE_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,,current_forced_flip_close,target_reset_close,17749,19634.256946,0,17749,0,1.041305,0,26.350778,149C0B7DA9BED3A7A517D125E4EA936B5124FE20022317D2609360BC79DBA367
DETERMINISTIC_RANDOM_SIDE_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,,current_forced_flip_close,terminal_reset_limit_close,6471,7224.746906,0,6471,0,1.043398,0,19.734953,D0FBE4581E5FCD8775F3A97A8B7D04E2F53B4DB629176340977C7E956CB11EF7
DETERMINISTIC_RANDOM_SIDE_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,,current_forced_flip_close,data_end_open_inventory,3970,-26422.912954,-26569.27695,502,3464,-3.12569,-113.993071,64.690991,636D197995F30E16AF7CE3BB6042D73FEC014EEE89CBEFD20EC012DFE29C5AAE
