case_id,symbol,entry_time,side,order_type,lot_size,david_state_shift1,david_state_source,type3_candle_combination,bar_hour_utc,bar_spread,bar_tick_volume,content_hash
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-06-07T05:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,05,0,3931,A37F42EC80DDC8C88A88C33EA36B1698662BEE5F68D6B4DF5A1233B7D9B16356
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-06-07T22:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,22,0,5220,F67FD7E53C82AEB3F0B383CDC5765050694143C00730310F2CDC0D0D6375A994
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-06-11T00:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,00,0,1262,47C1D9EA07510702ED38B95A28A9072F6419291EAAFFF3FF6E08E5BA0F03DE45
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-06-11T20:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,20,0,3993,0366226D21F24283B9157BBF256A2F51036E6EDA7E7CC16E24EC378B12482293
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-06-12T18:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,18,0,7013,2EF0275182582DE2B7DB5BDE1F1B5C7876F9845E1C7520FB99ACAA070FC85DE8
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-06-15T01:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,01,0,1561,226608FAE50B175A4594BF5BDB5A5F5C88D3D164AC95D58A10AE8A82B63D7929
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-06-18T23:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,23,0,2576,DC87164DBD892D352E7667A280948F05D8C83106CDCC214C8489EF703EF0B99F
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-06-21T00:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,00,0,3027,87ED9F506EAB9F6B9F54E1C170E7279185E78177E7DB9CAA7A9E8B3BD072F9E8
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-06-25T00:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,00,0,601,55CB525AD677C9A7A8F02A6FC4D835A688F8106D9AF3C40B48D2C0E9819867CF
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-06-27T21:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,21,12,4498,FA6E1BE3D21CE9C3CD50EDCCD34712B35938B1FE6EA323828BDC80D3CB66970C
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-06-28T03:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,03,11,2644,212C0DBD954A981F898844BDFA91C051151AC5C30B70A99AF3072E0FB6CF3F4A
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-07-02T07:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,07,11,2855,74BDA115128C2BD0C602A44624EB8254E66CEEA8184F23B172D9D5045C28D123
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-07-02T13:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,13,11,3700,5BE983CD130F050F50646449AC7CD413846BEC61CE5A68971C10ACC48298B6AF
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-07-04T14:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,14,11,2585,8BBDEF71ADFF7292A1AFF11FEE1ABCB91C7879B8AAB079B87BAEF5D22B0A811E
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-07-04T20:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,20,14,2529,B08E30F4873FAFEE48537E679BFF964D84FBEE1BD82B01969E2887081BFF049C
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-07-10T14:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,14,11,2953,3C0049AA31279003EDEFF9E143E92A5F0926ABC0F2E09811FB71E0366B940184
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-07-11T03:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,03,11,3154,B031A4A3B1B9E2D1EECF2E7A98177BB13469CE8253C207AE516EFD31DC32F6B4
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-07-11T09:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,09,11,3917,03262164D7641C929904E0649610B787C1FC0CCF36BF3BEE0958CDECF50EBB60
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-07-11T15:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,15,11,5330,BF85C0D38AE4862B40093C292BCA0F1C2674CC8D52575831EBDFCA0BD9714100
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-07-12T23:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,23,11,1589,468C712B86EAC1703E6D2AE4C0E68114F1181BF9E296F599A73F5A3198BD88A6
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-07-13T12:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,12,11,3419,DED966FF28F6745B9463B44318CDD25F5FDE0A575B0789BCFE6877CFF28934EA
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-07-17T05:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,05,11,2975,0341FACC2D434FECDFA295275D77C87AD355FADC35EFA84E32738F1B3201947B
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-07-17T23:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,23,11,1502,070C61E4B9D6C5C7A633180D116EE06A89DC521E68E54FFF3BB99BC582D76AB1
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-07-18T10:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,10,11,4247,96F0E77C0BCEF8758E8FBB30BC39F68618AD0F64F43C6EBB418237914486EC8C
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-07-19T09:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,09,10,4305,C8B69F35CE5E6C2AF4440DE090F9E9A538BA35FF5D3C9495C6E6FCA213655B6E
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-07-23T15:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,15,10,3872,65FAC9EB14DCFF3E39F85591A253D9C197C6400A01D0EE435784789F6809BAF7
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-07-25T08:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,08,13,2211,7DEBF2BD2E54715E140E5BB7164EC6DD73B36966D8912BDAEF191C5F1148C3F4
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-07-25T17:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,17,10,6434,B087B59E3500C74A6F72393A1D56556414E0927CD741C71DF49F40C4B4D1B8D5
