rule_id,rule_family,month,weeks,monthly_mtm_equity_adr,monthly_closed_adr,average_week_end_open_unrealized_adr,worst_week_end_open_unrealized_adr,cumulative_mtm_equity_snapshot_adr,monthly_mtm_win,monthly_closed_win,content_hash
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2020-05,5,5.109524,46.051068,-14.680858,-45.624268,740.36674,true,true,E0B66E78E6EE0B55C259E85F7754AC7FFA60C0C4054F6C3C7CC213C09191FD33
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2020-06,4,77.866685,46.842203,31.949125,15.213252,818.233425,true,true,5C60A11E4198E0E9EB3178EFFEA3E550EFB65D89360F57F1975B528AC529EA30
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2020-07,4,-323.614283,19.929934,-115.96236,-328.330965,494.619142,false,true,8D6BC60C81C1E6760B115A3C49B41D14459288C51DC9DAD2EAB8D6983DB21605
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2020-08,5,182.904661,-35.381393,-178.760125,-266.980469,677.523803,true,false,2F8EF71814F8A52EA31312CA456AC7615B8FEE7F591ACCD2D9E58DA9A6637219
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2020-09,4,127.490099,23.002821,-119.302744,-248.648926,805.013902,true,true,E0220815E71499B042F0EAC71B6152172561D2E0FA3FE04ED8120663DD09C0E9
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2020-10,4,-1.911775,16.6634,-12.256302,-24.132808,803.102127,false,true,40BD9B3AB06301D9FE3A5EFF18CAA67CAEF5CA4AE84685190A8A441AEF3013D0
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2020-11,5,17.883234,-12.580795,-4.114537,-13.631621,820.985361,true,false,58049F3AFC018B61AD536D1BA0CD6DF01B0A1708C403BCB1664DC2CB55997B74
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2020-12,4,-8.299008,2.407144,-7.468705,-13.977908,812.686353,false,true,7987319E31F9C71BE7DF9082D4D0C618793C30116F629C3A98A8D92A13BFF3B5
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2021-01,4,38.923953,12.021628,11.063656,6.250892,851.610306,true,true,94D4E46F27A31FA951DED874EFF47595723A04D7F3BDE278E96EEE552293B676
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2021-02,4,87.456581,31.140442,61.006606,44.692611,939.066887,true,true,34EFE93E6D53FAEFF62F58CBBE6AF3AD6B0823C221C6D2CF8F7B35C18DD99910
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2021-03,5,28.055705,79.048543,72.767528,27.850695,967.122592,true,true,58C7C121BA595281B36FE9295A3E41D201522FEFAE6F6FDE6DC571345D105EC6
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2021-04,4,12.706382,15.413624,39.201642,25.143453,979.828974,true,true,6A547C15B6353EF357E4CAF1D8947978E41A623E5D36D338227A87BF29A382BC
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2021-05,5,-4.425663,37.367397,-18.901929,-30.944146,975.403311,false,true,7E1C6531143751173541226301261CFE03E45BD1BD94FF77BC206DC2F51C2682
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2021-06,4,43.938109,-40.233761,25.349004,-15.995363,1019.34142,true,false,8C99FB9C9A552AE964B462F9E81742DF73A82348B1C6246025AA963771B8AEE0
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2021-07,4,-10.647851,35.734349,48.264283,21.140063,1008.693569,false,true,947D5215178917A87C4DF5F2F306983CACAA03F5A19B6FFA198D7ABC1A9F2AFF
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2021-08,5,36.614817,90.600725,-20.486905,-37.41114,1045.308386,true,true,BF428643AF659593BB56A75577477F26E533E1F546C86E3BD2905C80B79C130B
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2021-09,4,36.393599,13.196564,-28.1979,-51.604465,1081.701985,true,true,E69930EB51B57EC6B786C25535A691EAFEF489DFB828BBD8AFE8AF4B0939D0CA
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2021-10,5,70.831988,72.594766,-9.610107,-26.911391,1152.533973,true,true,C2CFA1DC8C599AFB5D4704581833389C4ACAF30435782615D8CD11598BC6A6CC
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2021-11,4,-19.570583,-19.165367,-21.615772,-55.645613,1132.96339,false,false,621EBE2FBF29EA9B6000700E7343D0E8FE949A189E42DD07BA385CB6D23CBD35
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2021-12,4,56.491556,25.650008,18.003348,16.259409,1189.454946,true,true,A37284AD42C1264D41863A1BA2C8F2DC5ECFCED90F3970EBC45703DAD4B0250B
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2022-01,5,96.79911,85.1074,6.098539,-34.742896,1286.254056,true,true,41154F82859B558205EC26684D5578C3FD0827524ED25AFD8994839B39820BDD
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2022-02,4,4.189175,46.936014,12.554385,-12.030385,1290.443231,true,true,6E962CDE6E9B73256E58A16D8C8FE2F4877CAF00410785725369EBB8282DDACD
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2022-03,4,9.26863,28.91119,-31.217744,-114.835794,1299.711861,true,true,7ADF5E43B23DA103E3EAF2F3A5C15C3775F9D23B39655945DC2616D0EA3F40A2
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2022-04,4,90.380771,81.992779,-18.443785,-34.589937,1390.092632,true,true,68E405FEF47FC8447F650ECCC046D8E28F7B94FFE3D1264DDF3CD433B76EEDF7
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2022-05,5,58.040251,46.896474,-26.822606,-44.214678,1448.132883,true,true,2F3EEB5F978B5660FAE04AA7DC5D528DC3C49BC137EAB477A3DBCF363AB82A62
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2022-06,4,10.40348,1.060179,9.279279,-2.797875,1458.536363,true,true,C1E14D0D3395A4C58034029A6F55DFF622F0B06657EFBBD5B0954EE0D7C6CAF6
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2022-07,5,-1.299169,3.057934,-7.378056,-22.634324,1457.237194,false,true,901AC40E93A1F401F7061F90E1AB58AB147640F3AFBB45ECABC42D489303D3CE
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2022-08,4,21.530391,6.479992,-9.919799,-28.471175,1478.767585,true,true,D0D20E44173EECF3579A1A9D82CAFD7B22A4E763ABD44DAF8011D0C990DA0A24
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2022-09,4,71.808244,55.62546,23.949615,10.897655,1550.575829,true,true,AD258550A8E189E96ACAB458B7594040F4D4E36028E4D30866D8163526A27A83
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2022-10,5,38.330715,49.997973,16.954026,-3.772467,1588.906544,true,true,73C3F1EB7D76AA2F78655F11389239D66A998001C18597B7AD702C88D60FF95E
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2022-11,4,-83.507356,128.259993,-76.139918,-199.356402,1505.399188,false,true,C4F39FC2BB40FBC54E471CC83217D9FEFC2066A9BEE5917FB064D7C4A36C6BC3
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2022-12,4,105.406545,-80.044745,-53.34505,-163.055674,1610.805733,true,false,D7D34D918DF7D62DCE555D881E1A9F5E3D7CBF582DBE827640884211ED23DBB2
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2023-01,5,66.486638,48.035038,1.173402,-8.22948,1677.292371,true,true,71F9A7B8E05B11CD1ECDFC7013D9371D3206C95C00F3D9A95D25766624422FCA
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2023-02,4,15.095289,24.657952,1.019156,-5.016175,1692.38766,true,true,68B2CD90E6777C65A9CB833294ABB3EDDAFA4CEAC6F89E1E3B8D85DD29763D9B
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2023-03,4,69.89839,63.95828,9.86384,0.923935,1762.28605,true,true,0DA7680149C60A06200950C6FFD6876F3069517B1EFEE9DD259ADC7BF09A2E0F
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2023-04,5,-14.938572,29.150312,-31.499559,-93.90746,1747.347478,false,true,C6C5FA276A74ACCD48CDCAD6036AB070BB0842C23153B96D693E804B02B8C94F
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2023-05,4,67.296144,69.554365,-35.851425,-61.189776,1814.643622,true,true,4D526276132CDC436657D599E4B5CBC00C8B0D7489EDFF95258E984B5E5DE3A9
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2023-06,4,-54.251704,12.869893,-76.479453,-112.544767,1760.391918,false,true,C433C485A1F268729423DDF245D2E960ABD39BE9A6AF9EBBC53950F92F27D7CB
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2023-07,5,-33.122127,8.568983,-88.744231,-154.235877,1727.269791,false,true,23D030C2DC6F810A30ADC1A08EB65349CE6701EF652F6532A1DCE5A192D08463
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2023-08,4,37.276959,8.146702,-182.37154,-209.419291,1764.54675,true,true,77E94FF53B989422A1038010D4EE3D02E0DDC73DDFA8299DF6AB980368FBD318
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2023-09,4,48.01732,33.968667,-89.406109,-152.279555,1812.56407,true,true,D5C9035D77C2EEC1B2DE0B5563AE084AADBD548E6E35331A9E9B783CD10A7BE0
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2023-10,5,93.239592,17.181443,-43.952543,-94.663649,1905.803662,true,true,8B1F26719F0B7B8A235FF5C511FF3DC2FEC3EDA1DAA1C91BD4DA18BDB08F0896
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2023-11,4,60.715879,19.059579,-17.022749,-35.594976,1966.519541,true,true,4BBF46992915066E08CDD60A41AAAAEC3B6D7CDE4BF32A521394BA1B10DDF999
