rule_id,rule_family,base_rule_id,flip_policy,reset_ordinal_bucket,event_count,closed_adr,open_unrealized_adr,win_rate,average_win_adr,average_loss_adr,worst_loss_adr,average_adverse_excursion_adr,flip_loss_adr,final_open_loss_adr,worst_pair,worst_pair_loss_adr,content_hash
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,pair_directional_two_sided_grid,,current_forced_flip_close,reset_3,3163,1942.073093,-176.080223,0.957831,1.7088,-24.212113,-1187.735375,-7.740683,-3220.211043,-176.525211,EURJPY,-1194.741086,ABA0F9FCE76078A2C63129D5B17CD46F95B8DBD9ECB879486A0E481F4DBDF688
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,pair_directional_two_sided_grid,,current_forced_flip_close,reset_4,1835,1805.564294,-5.787877,0.961287,1.780461,-18.780127,-296.961047,-8.949724,-1333.388991,-5.787877,USDCAD,-296.961047,534782986C31151907BA21FCC7C093F140F6C135350A4B97F006C69E5D850483
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,pair_directional_two_sided_grid,,current_forced_flip_close,reset_5,1002,1385.684615,-162.266396,0.963928,1.779542,-9.062084,-73.81559,-7.529203,-326.23501,-162.266396,USDCAD,-131.062144,4B7FC30CF0A6EC06C69EF76C7485D633DC0143B3E6BB31BC2387E8834B67387A
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,pair_directional_two_sided_grid,,current_forced_flip_close,reset_6,573,481.915918,0,0.965096,1.902805,-28.516755,-264.727488,-8.034654,-570.335105,0,AUDCHF,-264.727488,09A5E393837363F4B7B229250F34EFC49F6B336A6BD78ABAACD9A51FB7823AB9
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,pair_directional_two_sided_grid,,current_forced_flip_close,reset_7,324,247.349449,0,0.953704,1.817472,-20.949951,-115.714356,-7.798655,-314.249259,0,GBPCHF,-115.714356,11CD95F3E9F0DC06EC3D3EABF7A74BAEE95DA5F85CF54E93346AF768277CC47A
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,pair_directional_two_sided_grid,,current_forced_flip_close,reset_8,197,322.422482,0,0.964467,2.024709,-8.896045,-47.32317,-7.577693,-62.272313,0,AUDUSD,-47.32317,2CDEAED53EC5A825A9E77A4D1AA97C444DE559E7D503D465C7DC87FA8C419D85
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,pair_directional_two_sided_grid,,current_forced_flip_close,reset_9,126,190.154638,0,0.984127,1.780328,-15.303042,-30.319186,-8.840771,-30.606084,0,GBPCAD,-30.319186,F5D2B1CEC1F1B6CF4EE73A8C43DDB27087A072C38538F1B994A62313A55203A6
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,pair_directional_two_sided_grid,,current_forced_flip_close,reset_10,82,200.968565,0,1,2.450836,,0,-6.050362,0,0,AUDCAD,0,C4A2E53C639FB29527F46265DB650078F5F2CCDEE110CB97A02395556727822C
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,pair_directional_two_sided_grid,,current_forced_flip_close,reset_11,49,99.900101,-1950.296503,0.979167,2.165369,-1.872239,-1.872239,-96.13744,-1.872239,-1950.296503,AUDJPY,-1950.296503,DC3B7A705C5AFAE3DD953BCC12514B2100EADC9C7E311095C118682476D56DD3
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,pair_directional_two_sided_grid,,current_forced_flip_close,reset_12,31,56.30373,0,1,1.816249,,0,-9.516396,0,0,AUDCAD,0,5CF9371D1069D6B9C0F36DD8CB1464769C15B54FF4A32D40F74E2D5B52F7BE47
