rule_id,rule_family,base_rule_id,flip_policy,pair,closed_adr,mtm_adr,final_open_unrealized_adr,worst_week_end_open_unrealized_adr,flip_loss_adr,target_reset_adr,sample_end_event_count,content_hash
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,USDJPY,1905.460183,1897.668579,-7.791604,-75.744523,0,1905.460183,312,82099EED377EE80741A8DCEA0441DB361FB771E01BB770BB35293D22281806C3
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,GBPCAD,1900.636142,1900.535793,-0.100349,-37.612448,0,1900.636142,281,37ACAE3AB553A326FD499F42E564A427969E6EC5517B157B608E0ECCFA30B25B
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,AUDJPY,1909.614166,1901.15789,-8.456276,-101.445585,0,1909.614166,302,88EF5B43A69648034A514F6F9E5A6849EEA4B240C1AA3D6280C632673298F3CC
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,EURGBP,1905.315919,1903.909899,-1.40602,-95.366313,0,1905.315919,295,7328C732C081D30CCA29429719E2D4AFCD946E3D00CE542DC5DB6FC7A57D78D7
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,AUDCHF,1903.954127,1903.954127,0,-68.554691,0,1903.954127,279,835DE47448CC4CA5D34F785E70674AADAC3F1957C9743C48A12FBF1AC2A0D2BA
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,AUDNZD,1918.69275,1907.327849,-11.364901,-95.922348,0,1918.69275,300,0858589B26ED4F7E8607B066321E6239B1D1DA0461EED9BE9AC6093C4FFD3671
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,GBPAUD,1914.483005,1907.395298,-7.087707,-106.022225,0,1914.483005,294,8C305E03E852D0A2CB91DF94D5B8EB6809CECCA26CEAF553B61CEA4DC49C0598
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,USDCHF,1924.569511,1908.534731,-16.03478,-77.915791,0,1924.569511,278,0F9B3F26E5F2835CBFC013EC54E772A384667E9BFF0B201D340195B6EB314786
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,USDCAD,1925.551586,1910.747982,-14.803604,-78.987068,0,1925.551586,286,71327F96742D7CEA9403026BEFE97A6C8B24F85542F95B5927B44856B26CE5AC
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,NZDJPY,1929.419521,1912.184319,-17.235202,-120.167048,0,1929.419521,274,A7B6AF0C683B92DECC5DBF14E6218B869AB70FDEDEC0D37C90E0DBE8ADC99EDC
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,EURCAD,1920.238652,1920.238652,0,-113.73468,0,1920.238652,273,698C91DD23377398545B6557C3A62522ED7B9FA2A300BB86E9CFC8798BF2D956
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,EURAUD,1930.248249,1924.389042,-5.859207,-113.993071,0,1930.248249,276,04BD2057B21863D3DE38FA4DACDDBA8D19F1A6D62956D89AF8F2A1A4AC345BC6
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,EURUSD,1926.376848,1926.376848,0,-112.192969,0,1926.376848,291,DEF028B654B4BFA6C9EB8F10E27FF7D96C2BB2F03EB4B09A6229166B4B9CEE45
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,CADCHF,1936.801078,1936.801078,0,-68.77311,0,1936.801078,278,AABBBECAEA41B6C5C91D969E79B9D56030596BC640E7D1F58DABB08AA72BCAF1
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,EURNZD,1958.130525,1938.99764,-19.132885,-78.555708,0,1958.130525,282,18D0E01498E18541BB893EB9A8964B9DE64BDE6036774C2D2D59CDC087542C9B
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,NZDCHF,1950.600055,1943.849453,-6.750602,-60.461388,0,1950.600055,269,40289499E355A632D89185BA54B92283DD8C495F6027A6240419523B6AB597F4
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,GBPNZD,1972.519769,1949.85869,-22.661079,-61.713968,0,1972.519769,262,BCD508C710080AA49B210832B93CC2B345742AAD6E44F967FB0D0D9643D886AE
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,GBPUSD,1956.695833,1951.190768,-5.505065,-78.451276,0,1956.695833,270,FAD218AF0F04BC81FD2F4C2112AF8164E3264C07F1F032C40471850794D43EF2
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,AUDUSD,1962.378441,1954.739942,-7.638499,-60.954115,0,1962.378441,271,AC49A4FB3909B5AF922AA11B82F1D135862E22FAD0ACA65582C22015A73DD271
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,NZDUSD,1976.840441,1957.335483,-19.504958,-53.506251,0,1976.840441,281,1255337F6DECD162B79DE18D7A0013EDC2DCAF0C42B11C764427EED5E4C2C69A
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,AUDCAD,1964.241438,1959.515594,-4.725844,-44.539406,0,1964.241438,282,CB91D9691882FAA7320A280687C93940EE9189E2EB4E00AEB68315FA9B852CBE
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,NZDCAD,1989.422035,1977.364913,-12.057122,-43.300734,0,1989.422035,280,24EEF883C1676C6CC6A4D5264A0343A3029050640B87129146F999101E346429
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,AUDNZD,245.378729,-2853.66825,-3099.046979,-3564.956706,-438.530681,681.143415,1,A7E4EF5D693F8FA9677749657A9C8A5076BFAC66895BA1FD9E7EA84C48177BB6
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,CHFJPY,-908.610146,-910.880186,-2.27004,-1618.371965,-1684.837239,769.152065,1,A3CC13A14D64EF4757287D7EF1CB2E76C4661827F4D2C0AA0EA7A7672CC1A133
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,EURCHF,-46.306792,-46.431092,-0.1243,-1241.179967,-691.39884,642.248146,1,9E0D41B7B4DC584BA29261D61A9A6816563B030CFED9B38FF831C05213F5EA46
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,AUDCAD,37.093574,37.458385,0.364811,-730.559469,-888.428485,921.836681,1,03259ABE850789CD33DEA89D6C6284EE6DAA60CCF646A8862AF5348B851CA801
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,AUDJPY,871.624042,80.302032,-791.32201,-956.721988,-108.097554,972.236819,1,5541D07672D43D3D05C8C5501901AFDCAFC256F1040EE56AA7A1DBD53315B4C0
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,GBPAUD,552.267088,262.418691,-289.848397,-463.436796,-350.886372,892.032459,1,4DE95397E8BCD182BB8D7D966B0BE41B8A53DCB00C8EEC131570674B02ED8095
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,NZDUSD,291.782033,269.188639,-22.593394,-254.231299,-548.329846,834.232433,1,F2B641385DBBA7325678B1EE155F74E9F6624D04A42A8E4A6FE0EC3681402ED9
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,EURAUD,295.243828,270.433399,-24.810429,-212.106101,-678.630282,967.103994,1,9622AED1D9B7F39C45C022F3B4985560E6BAE1489E4B02A48B97BD5CD792BC63
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,GBPJPY,299.395389,297.62581,-1.769579,-1995.98078,-596.314004,889.993171,1,5482DCD6B07BF8BA9BB91F3EF6C6E57285BA7DEB11D07021CA841592D34628E3
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,AUDUSD,319.251634,319.443445,0.191811,-366.4111,-576.656467,886.642217,1,BF76686A5C980A440A46CAC0A536B3B067D81646DB2DD806BD2DD1BD3717FBC9
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,USDJPY,381.072133,350.767527,-30.304606,-604.963155,-502.00292,872.324576,1,13A7BAE5B64066594E3A7D2FE3F8B407475293460A81052ECCD1363C0C7C6013
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,USDCAD,483.83085,402.301533,-81.529317,-186.818898,-467.494667,945.022073,1,5A1759635E08F3752C5384140D5CC0209586120C94E12861FCE595F18BCE69B3
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,GBPUSD,470.993561,470.914807,-0.078754,-373.901623,-423.767782,887.219293,1,F9323DB827FCC6DB5C08A3F15D2CAC161359B09028FB76DED82B115BAD08F8EA
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,CADJPY,496.412568,495.763244,-0.649324,-502.247858,-291.632672,762.71364,1,50ADD4CD3C93D2D9CC8DD833021724E5C6C43D2A19B13F5B8EF052B28E20C058
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,GBPCAD,509.453032,507.413344,-2.039688,-2224.457104,-290.274002,783.255243,1,4D52A21634A8D5E9D4AFFAC8AA30665361A9609A43CA099228976823AF95FD8B
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,NZDJPY,621.100818,609.387865,-11.712953,-403.263567,-393.535875,1001.989116,1,FC0A0815B558F0D0A122FB8FC705B2984140D448A97A914167057BFDCED8A69A
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,AUDCHF,617.165296,617.044366,-0.12093,-272.162758,-412.095135,1019.63796,1,7F2BDE60509BBF270031BA0630CE49B35207D3D22649D61CC50581A9BF48768E
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,EURJPY,663.924694,661.40747,-2.517224,-735.507818,-120.325888,780.459904,1,C6CC23E0E1392257D961A55E806EB6F07A23DA5935C5D1AC7C3F0EC0403FB032
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,GBPCHF,697.998607,677.722104,-20.276503,-496.636727,-167.381911,860.909455,1,94057AB782EF453AE0F18D9DA572A66BD604D0FDC1119B4529B0A8B2952F6E12
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,USDCHF,715.629091,687.459905,-28.169186,-254.575981,-136.286347,843.806042,1,5954E2B8478D6D5A3DBFE04887AD413843D3D7780A3CD9B9F03F46C41DA1DB08
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,EURUSD,747.750514,716.048111,-31.702403,-381.271753,-97.474975,842.75238,1,C4765714A2B9C292DCFDB9C1528A19CE218A9410A4448E38B345018AB0F3A261
