rule_id,base_rule_id,flip_policy,closed_total_adr,final_equity_adr,final_open_unrealized_adr,worst_week_end_open_unrealized_adr,flip_loss_adr,max_equity_drawdown_adr,worst_13_week_loss_adr,closed_weekly_win_rate,mtm_weekly_win_rate,warehouse_position_count,warehouse_recovery_rate,warehouse_final_unresolved_loss_adr,average_warehouse_duration_hours,max_warehouse_duration_hours,equity_delta_vs_base_adr,open_delta_vs_base_adr,drawdown_delta_vs_base_adr,flip_loss_delta_vs_base_adr,transfer_read,content_hash
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK__FLIP_CLOSE_SMALL_LOSS_WAREHOUSE_GT3ADR,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK,close_small_loss_warehouse_large_loss,10492.661616,10111.425093,-381.236523,-1850.992699,-42.026587,-1387.91141,-1308.360174,0.911528,0.61126,124,0.233871,0,0.216667,753.9,-26.122465,0,6.330593,3747.552939,did_not_improve_flip_tail_balance,FB5E8994FBE50BACF7B6E8928755F0B1FE7768AE53EB3B76B86BE345943BFAA4
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK__NO_FLIP_FORCE_DIAGNOSTIC,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK,no_flip_force_no_new_fills,14372.226437,10213.085259,-4159.141178,-4238.90289,0,-1604.159284,-1553.18464,1,0.589812,155,0.948387,-3777.904655,193.283333,52695,75.537701,-3777.904655,-209.917281,3789.579526,reduced_flip_loss_but_transferred_damage_to_open_inventory,0BC8CCB0A10A325DE45011DA2649CE77F8D6238E4BCFDBC948AFE1D29BBD1567
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_LOSER_WAREHOUSE,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,warehouse_losing_flip_no_new_fills,14028.861203,11720.641171,-2308.220032,-2627.126459,0,-1826.760979,-1812.76206,0.919571,0.605898,268,0.458955,0,7.133333,2184,6.91367,0,-15.023864,5132.272395,reduced_flip_loss_and_improved_mtm,CF02C7053F5BB03AA02E0F0C7FA62502346A4EB34606D2B6A70D506E6C078100
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_GRACE_1W,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,grace_window_losing_flip_no_new_fills,14224.287547,11916.067515,-2308.220032,-2627.126459,0,-1709.896784,-1610.350318,0.906166,0.613941,268,0.522388,0,104.916667,169,202.340014,0,101.840331,5132.272395,reduced_flip_loss_and_improved_mtm,6393996D9B0F2CB8724A4C2ECA2F2D293B143693045D11ACEECA8DCB933B882B
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_CLOSE_SMALL_LOSS_WAREHOUSE_GT3ADR,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,close_small_loss_warehouse_large_loss,14021.218941,11712.998909,-2308.220032,-2627.126459,-84.018696,-1817.110743,-1803.111824,0.919571,0.605898,189,0.26455,0,0.866667,882.283333,-0.728592,0,-5.373628,5048.253699,did_not_improve_flip_tail_balance,52F86E017EB5F5A3FCCCD3F2C45FE36D81A2F69673F684F4F38C973A185B2B39
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__NO_FLIP_FORCE_DIAGNOSTIC,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,no_flip_force_no_new_fills,19239.485961,11894.890868,-7344.595093,-7743.049098,0,-2921.847932,-2422.51103,1,0.587131,268,0.947761,-5036.375061,104.916667,52695,181.163367,-5036.375061,-1110.110817,5132.272395,reduced_flip_loss_but_transferred_damage_to_open_inventory,429387A1AE6D2A211DD4F7691D45531C2E63A7DACF9F2D5F0726FCB2A1A83457
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_LOSER_WAREHOUSE,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,warehouse_losing_flip_no_new_fills,16193.653693,13842.569182,-2351.084511,-3001.945057,0,-1992.408147,-1992.408147,0.914209,0.600536,344,0.514535,0,7.625,2184,69.569418,0,-2.965493,6297.282489,reduced_flip_loss_and_improved_mtm,B3D0FDF706CBB7F725C9751FACCDC66EB2F9B32B4E7F32ED3391DC22D2E097D4
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_GRACE_1W,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,grace_window_losing_flip_no_new_fills,16511.607861,14160.52335,-2351.084511,-3043.178003,0,-1694.811188,-1660.82999,0.908847,0.592493,344,0.569767,0,81.641667,169,387.523586,0,294.631466,6297.282489,reduced_flip_loss_and_improved_mtm,CA7B7136C98CEBF322B647197FCBFAA7EEC741CC4240436CA0DD0834A29DC041
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_CLOSE_SMALL_LOSS_WAREHOUSE_GT3ADR,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,close_small_loss_warehouse_large_loss,16128.957728,13777.873217,-2351.084511,-3001.945057,-138.230157,-1988.00802,-1988.00802,0.914209,0.600536,223,0.278027,0,2,878.366667,4.873453,0,1.434634,6159.052332,reduced_flip_loss_and_improved_mtm,7CC510E3587D779C7DD94CA713383458253ADBC7C2C905425E31C7733A804681
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__NO_FLIP_FORCE_DIAGNOSTIC,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,no_flip_force_no_new_fills,22529.655745,14820.927278,-7708.728467,-8067.331207,0,-2895.729322,-2559.995671,1,0.576408,344,0.962209,-5357.643956,81.641667,52695,1047.927514,-5357.643956,-906.286668,6297.282489,reduced_flip_loss_but_transferred_damage_to_open_inventory,D5D2C5709C7A0C314149C3D1FD8486D847125934767D8B2F2C428FAED329B4BB
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_LOSER_WAREHOUSE,PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,warehouse_losing_flip_no_new_fills,17525.932805,13058.63257,-4467.300235,-5032.162889,0,-4092.87448,-3312.0798,0.91689,0.589812,413,0.523002,0,7.966667,2184,40.469136,0,-18.789348,7245.973831,reduced_flip_loss_and_improved_mtm,17F4DC5207BDC6AE99CA4727FF4CB147739165AD51FFF0873C1A8DF281D0BD26
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_GRACE_1W,PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,grace_window_losing_flip_no_new_fills,17805.182582,13337.882347,-4467.300235,-5032.162889,0,-3525.943814,-2816.016684,0.908847,0.579088,413,0.583535,0,64.283333,169,319.718913,0,548.141318,7245.973831,reduced_flip_loss_and_improved_mtm,5F22AF20C218D54BDAB18983D102F79BB67E719562EE017674C7D968E3C56121
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_CLOSE_SMALL_LOSS_WAREHOUSE_GT3ADR,PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,close_small_loss_warehouse_large_loss,17485.6992,13018.398965,-4467.300235,-5032.162889,-158.480469,-4075.313293,-3307.695623,0.919571,0.592493,266,0.293233,0,6.316667,878.25,0.235531,0,-1.228161,7087.493362,reduced_flip_loss_and_improved_mtm,41BB20DFB5A2875FE300606A0716A80CEE1974A65EE2C2AE976B01AAD3F5C969
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__NO_FLIP_FORCE_DIAGNOSTIC,PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,no_flip_force_no_new_fills,24845.714045,12991.974395,-11853.73965,-12461.879402,0,-5816.74014,-4384.064223,1,0.565684,413,0.949153,-7386.439415,64.283333,52695,-26.189039,-7386.439415,-1742.655008,7245.973831,reduced_flip_loss_but_transferred_damage_to_open_inventory,F96913C97D918D45A2BA2D07AE2B145218DA0633B9ABCF7AE1B0B72F529A57C0
