rule_id,rule_family,base_rule_id,flip_policy,flip_event_count,flip_loss_event_count,total_flip_loss_adr,total_flip_adr,average_flip_loss_adr,median_flip_loss_adr,worst_flip_loss_adr,profitable_inventory_flip_count,losing_inventory_flip_count,mixed_inventory_flip_count,average_open_state_before_flip_adr,median_reset_ordinal_at_flip,median_inventory_age_hours_at_flip,worst_pair,worst_pair_flip_adr,worst_currency,worst_currency_flip_adr,content_hash
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP__FLIP_CLOSE_SMALL_LOSS_WAREHOUSE_GT3ADR,flip_counterfactual,PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,close_small_loss_warehouse_large_loss,602,316,-310.995218,-97.364677,-0.984162,-0.700752,-2.978452,286,316,108,-0.161735,4,71.183334,EURCAD,-17.300017,EUR,-41.292633,57FB71AF7D0B2A8AC7A7AD8D9C74E5EF9C6ABB37F3C0BC090B398F0C29BB4788
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP__NO_FLIP_FORCE_DIAGNOSTIC,flip_counterfactual,PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,no_flip_force_no_new_fills,286,0,0,213.630541,,,0,286,0,67,0.74696,4,68.533334,EURNZD,2.312624,EUR,26.515606,DFEEB5AE6566014E4185FE9D83A925128A6E131179A4AEED53328C564EF824D9
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP__FLIP_LOSER_WAREHOUSE,flip_counterfactual,PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,warehouse_losing_flip_no_new_fills,223,0,0,246.359359,,,0,223,0,103,1.10475,3,71.083333,EURCHF,2.275172,EUR,39.585113,B572F04E56ADB360240360A18C8678B5AC3A7094F330D8B40455A805C1E83723
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP__FLIP_GRACE_1W,flip_counterfactual,PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,grace_window_losing_flip_no_new_fills,223,0,0,246.359359,,,0,223,0,103,1.10475,3,71.083333,EURCHF,2.275172,EUR,39.585113,2E28232504C831B413CFA027EADED7F01CD469B059FB15592895187E7E3BEE02
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP__FLIP_CLOSE_SMALL_LOSS_WAREHOUSE_GT3ADR,flip_counterfactual,PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,close_small_loss_warehouse_large_loss,504,281,-307.477394,-61.118035,-1.094226,-0.929558,-2.968174,223,281,196,-0.121266,3,80.508333,GBPNZD,-13.304409,GBP,-35.987535,0D59B070148FAD91E48CF44BC6BFB2D1CE1BD3326EF79B26893A4C08CA0DCE66
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP__NO_FLIP_FORCE_DIAGNOSTIC,flip_counterfactual,PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,no_flip_force_no_new_fills,223,0,0,246.359359,,,0,223,0,103,1.10475,3,71.083333,EURCHF,2.275172,EUR,39.585113,0EFE24A1970FD18EEF09E2FA3A5A5CCA3BBC82F7FD8E48707D6F900EA7817674
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK__FLIP_LOSER_WAREHOUSE,flip_counterfactual,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK,warehouse_losing_flip_no_new_fills,15,0,0,28.178882,,,0,15,0,13,1.878592,1,100.483333,EURAUD,0.027685,EUR,1.134534,8B6568A577EE6F886FD155CEAD385296D61550487538B53C6C040D5CDDE5E4CF
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK__FLIP_GRACE_1W,flip_counterfactual,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK,grace_window_losing_flip_no_new_fills,15,0,0,28.178882,,,0,15,0,13,1.878592,1,100.483333,EURAUD,0.027685,EUR,1.134534,BFBE0F83B1E1057767F409BCE2B3E3C40E926EC4CF0FC05F35300998379A2C4E
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK__FLIP_CLOSE_SMALL_LOSS_WAREHOUSE_GT3ADR,flip_counterfactual,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK,close_small_loss_warehouse_large_loss,46,31,-42.026587,-13.847705,-1.355696,-1.266912,-2.963438,15,31,25,-0.301037,1,139.5,EURCAD,-7.464815,EUR,-20.931182,84684A80795E2953D814A2F0014AF6B7C7E9B62917E816312F71A365E1720AE6
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK__NO_FLIP_FORCE_DIAGNOSTIC,flip_counterfactual,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK,no_flip_force_no_new_fills,15,0,0,28.178882,,,0,15,0,13,1.878592,1,100.483333,EURAUD,0.027685,EUR,1.134534,C3D9551BB5D5087ADE3858FA03AA6AEEFCE511A50F6360B5B27C9741D03BFFC1
