variant_id,activation_rule_id,protection_mode,cycle_id,pair,side,close_reason,start_timestamp_utc,close_timestamp_utc,anchor_week_open_utc,fill_count,adverse_fill_count,expansion_fill_count,price_pnl_adr,price_pnl_usd,commission_usd,swap_usd,net_usd,min_pnl_adr,max_pnl_adr,reset_ordinal_at_start,completed_reset_ordinal,max_fill_age_days,cycle_spacing_adr,triangle_trigger_key,content_hash
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,baseline,RAW_GRID_T100_S020_GATE90_DAVID_CONTRA|AUDCHF|SHORT|3,AUDCHF,SHORT,target,2019-04-17T22:05:00.000Z,2019-04-18T00:28:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.157118,0.810001,-0.06,0.000993,0.750995,-0.009698,0.157118,1,2,0.099306,0.2,,961B893A083548EBE0F4A5390391A5CD0C5D31B6D50D1339CCF4F56C83D0DEEF
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,baseline,RAW_GRID_T100_S020_GATE90_DAVID_CONTRA|AUDCHF|SHORT|4,AUDCHF,SHORT,target,2019-04-18T01:32:00.000Z,2019-04-18T01:49:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.36409,1.879997,-0.06,0.000118,1.820115,0,0.36409,2,3,0.011806,0.2,,A993BB41274F2F334BFD1B33C38AD7E1412C3EA0C553B950CD432A0FC7D579E2
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,baseline,RAW_GRID_T100_S020_GATE90_DAVID_CONTRA|AUDCHF|SHORT|5,AUDCHF,SHORT,target,2019-04-18T02:34:00.000Z,2019-04-18T03:32:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.131884,0.68,-0.06,0.000403,0.620402,-0.019395,0.131884,3,4,0.040278,0.2,,501FC55D07E383B39BAC1340FA51D947983ADF54C9B0CFD2A601D9B149FD7F26
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,baseline,RAW_GRID_T100_S020_GATE90_DAVID_CONTRA|AUDCHF|SHORT|6,AUDCHF,SHORT,target,2019-04-18T06:14:00.000Z,2019-04-18T07:32:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.112477,0.579998,-0.06,0.000542,0.520539,-0.031029,0.112477,4,5,0.054167,0.2,,EC94E90B79B19FF57FFDAB9C13ADA1CB7485DCAD33B0CCDA00D7D1CD455FC703
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,baseline,RAW_GRID_T100_S020_GATE90_DAVID_CONTRA|AUDCHF|SHORT|7,AUDCHF,SHORT,target,2019-04-18T13:16:00.000Z,2019-04-18T14:05:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.108623,0.559999,-0.06,0.00034,0.50034,-0.058191,0.108623,5,6,0.034028,0.2,,25D2D3B43172ECF80897F0082F5E83A4AACC8BFF27FC96300C36625B50B278D3
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,baseline,RAW_GRID_T100_S020_GATE90_DAVID_CONTRA|AUDCHF|SHORT|8,AUDCHF,SHORT,target,2019-04-18T15:52:00.000Z,2019-04-18T16:31:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.112496,0.579998,-0.06,0.000271,0.520268,-0.069825,0.112496,6,7,0.027083,0.2,,408CAB70BEC0A5CB6874577D318B61C2A677B7067385BCD17E41DEE64788986B
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,baseline,RAW_GRID_T100_S020_GATE90_DAVID_CONTRA|AUDCHF|SHORT|9,AUDCHF,SHORT,session_flatten,2019-04-18T18:43:00.000Z,2019-04-18T20:00:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,-0.056247,-0.289999,-0.06,0.000535,-0.349464,-0.056247,0.029093,7,,0.053472,0.2,,D75AB007D0C193105F776E33D19D705316D8056CD67D676E6050D00094610BDF
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,baseline,RAW_GRID_T100_S020_GATE90_DAVID_CONTRA|AUDCHF|SHORT|10,AUDCHF,SHORT,target,2019-04-18T22:05:00.000Z,2019-04-19T00:56:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.12796,0.660001,-0.06,0.001188,0.601189,-0.060103,0.12796,7,8,0.11875,0.2,,4AEE7A60BE36274AE7AAFB270FB6BDB1BB0BA85ACF095EDBB1579C70985FD8A3
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,baseline,RAW_GRID_T100_S020_GATE90_DAVID_CONTRA|AUDCHF|SHORT|11,AUDCHF,SHORT,target,2019-04-19T01:48:00.000Z,2019-04-19T02:04:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.120214,0.619999,-0.06,0.000111,0.560111,0,0.120214,8,9,0.011111,0.2,,5197B2AC018B21F5EBEF0EA70ADFE0AD97CCC061190676B77149A4A75F417FE1
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,baseline,RAW_GRID_T100_S020_GATE90_DAVID_CONTRA|AUDCHF|SHORT|12,AUDCHF,SHORT,target,2019-04-19T03:51:00.000Z,2019-04-19T06:59:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.137669,0.71,-0.06,0.001306,0.651305,-0.05817,0.137669,9,10,0.130556,0.2,,28B5EC377C5CD9A5B2124CB999A00C1A4FDB36388C2FD4237D19C35649523751
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA__PROTECT_LOCK_1Q_STOP_ADDS,david_contra,lock_1q_stop_adds,RAW_GRID_T100_S020_GATE90_DAVID_CONTRA__PROTECT_LOCK_1Q_STOP_ADDS|AUDCHF|SHORT|1,AUDCHF,SHORT,session_flatten,2019-04-16T13:43:00.000Z,2019-04-16T20:00:00.000Z,2019-04-14T23:00:00.000Z,2,1,0,-0.220373,-1.13,-0.12,0.004042,-1.245959,-0.278839,0,0,,0.261806,0.2,,8970501B7421AEE48BC2BC515A303F3F146F2DC6A34866E52AA11138C7DA17BF
