variant_id,activation_rule_id,cycle_id,pair,side,close_reason,start_timestamp_utc,close_timestamp_utc,anchor_week_open_utc,fill_count,adverse_fill_count,expansion_fill_count,price_pnl_adr,price_pnl_usd,commission_usd,swap_usd,net_usd,min_pnl_adr,max_pnl_adr,reset_ordinal_at_start,completed_reset_ordinal,max_fill_age_days,cycle_spacing_adr,triangle_trigger_key,content_hash
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|LONG|19,AUDCHF,LONG,target,2022-01-11T12:17:00.000Z,2022-01-11T15:01:00.000Z,2022-01-10T00:00:00.000Z,2,1,0,0.313918,1.339999,-0.12,-0.011654,1.208346,-0.304291,0.313918,9,10,0.113889,0.2,,262FF40FD1CA64B3050CC05C38E4F3FFA06E4786A2956678E030475E1EF495DA
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|LONG|20,AUDCHF,LONG,target,2022-01-11T15:01:00.000Z,2022-01-11T15:01:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.161597,0.690001,-0.06,0,0.630001,0,0.161597,10,11,0,0.2,,F91D9663A385ECBC58B3737A0106B9104C148080252F2D9B9E4847F94313FC3A
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|LONG|21,AUDCHF,LONG,target,2022-01-11T15:50:00.000Z,2022-01-11T15:59:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.140563,0.599999,-0.06,-0.000573,0.539426,0,0.140563,11,12,0.00625,0.2,,8950390488A9FD4B1291A136E1C1F83100ACC17056445524AF54883175EA95CC
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|22,AUDCHF,SHORT,session_flatten,2022-01-11T16:40:00.000Z,2022-01-11T21:00:00.000Z,2022-01-10T00:00:00.000Z,2,1,0,-0.336756,-1.439994,-0.12,0.00316,-1.556834,-0.542469,0.08889,8,,0.180556,0.2,,71D1EB071F8F790508AD5E46BEC3992D438978B3042770DDF937A88D78B95C70
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|23,AUDCHF,SHORT,target,2022-01-11T23:06:00.000Z,2022-01-12T01:19:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.126089,0.539999,-0.06,0.000924,0.480922,-0.058375,0.126089,8,9,0.092361,0.2,,33E4CAA3B89C3334F583BED04C901406ED85008CFC13F90E067032846E5CC224
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|24,AUDCHF,SHORT,target,2022-01-12T01:38:00.000Z,2022-01-12T01:49:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.10273,0.44,-0.06,0.000076,0.380077,-0.030352,0.10273,9,10,0.007639,0.2,,5F8791665457242298BD120B72F2E6C8E0B2BFF9DE2DFF41D5C1AA20294A85A1
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|25,AUDCHF,SHORT,target,2022-01-12T03:09:00.000Z,2022-01-12T07:37:00.000Z,2022-01-10T00:00:00.000Z,2,1,0,0.214489,0.919998,-0.12,0.002264,0.802262,-0.219426,0.214489,10,11,0.186111,0.2,,E8894528FBE3CD4C13259F3780EF3C8C7DCC1483C3C35AC49B5C19CDEF71A695
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|LONG|26,AUDCHF,LONG,target,2022-01-12T07:54:00.000Z,2022-01-12T08:06:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.105123,0.450002,-0.06,-0.000764,0.389238,-0.053729,0.105123,12,13,0.008333,0.2,,B62D2CAA1B06F5873C0551B73E0D402D1E9AA917F0DC39412917B739914E5F0A
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|LONG|27,AUDCHF,LONG,target,2022-01-12T08:09:00.000Z,2022-01-12T08:16:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.133176,0.569999,-0.06,-0.000446,0.509553,0,0.133176,13,14,0.004861,0.2,,D8C9241BC4BB80CD156DD447532E2C63E983AA1664EDD0078CE434B1A7BA0247
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|LONG|28,AUDCHF,LONG,target,2022-01-12T08:30:00.000Z,2022-01-12T09:50:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.105153,0.450002,-0.06,-0.005094,0.384907,-0.112163,0.105153,14,15,0.055556,0.2,,1019CA7C5DD96EDD61CE6484C75C886A97BDD6E5FB2402B87526219028BF8D29
