"time","receipt_type","status","detail"
"2026.01.02 00:27:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:26:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:28:30","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:27:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:29:30","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:28:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:30:30","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:29:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:31:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:30:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:32:30","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:31:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:33:30","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:32:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:34:30","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:33:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:35:30","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:34:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:36:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:35:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
