group_type,activation_rule_id,protection_mode,origin_class,pair,side,close_reason,start_date_et,close_event_count,win_count,loss_count,win_pct,fill_count,adr_normalized_return_pct,account_return_pct,gross_profit_usd,gross_loss_abs_usd,profit_factor,avg_realized_pnl_adr,avg_mfe_adr,avg_mae_adr_abs,avg_giveback_adr,aggregate_capture_ratio,avg_capture_ratio,mfe_1q_hit_pct,mae_1q_hit_pct,trail_addressable_loss_count,trail_no_activation_loss_count,trail_addressable_loss_pct_of_losses,trail_1q_1q_theoretical_improvement_adr,trail_1q_0_5q_theoretical_improvement_adr,content_hash
start_date_origin,david_contra,trail_1q_0_5q,eod_green_leftover,,,,2019-11-14,6,6,0,100,10,0.839776,0.054015,5.4,0,,0.139963,0.166128,0.232577,0.026165,0.842501,0.849279,33.333333,50,0,0,,0,0,CBBDB955FF7B115D9C553DF7C7AAA77EFCE7F2E5AE847322F41A427C41D3B63E
start_date_origin,triangle_v0_no_candidate_b,baseline,target_captured,,,,2019-09-25,5,5,0,100,9,1.168567,0.054029,5.4,0,,0.233713,0.233713,0.502529,0,1,1,20,20,0,0,,0,0,1843EA7A9C2B82308EA19B724E4F0335CFA6F1F7666DE0634D1E30D53D0EDB9F
start_date_origin,triangle_v0_no_candidate_b,lock_1q_stop_adds,target_captured,,,,2019-09-25,5,5,0,100,9,1.168567,0.054029,5.4,0,,0.233713,0.233713,0.502529,0,1,1,20,20,0,0,,0,0,DA11D9BE6531E53CDB60835ADD708E7989018C2A2A47192614EFBB1AB1C3216E
start_date_origin,triangle_v0_no_candidate_b,trail_1q_0_5q,target_captured,,,,2019-09-25,5,5,0,100,9,1.168567,0.054029,5.4,0,,0.233713,0.233713,0.502529,0,1,1,20,20,0,0,,0,0,70B67E05C8789E0E9158EB9FD16EE633EDF87722C350463BF2FE1F6FA649A904
start_date_origin,triangle_v0_no_candidate_b,protected_flatten_1q,target_captured,,,,2019-09-25,5,5,0,100,9,1.168567,0.054029,5.4,0,,0.233713,0.233713,0.502529,0,1,1,20,20,0,0,,0,0,F722A21814F0EBCD2035F770509BFC99879FDC146180B2487F91DE6CC0B09808
start_date_origin,david_contra,protected_flatten_1q,eod_green_leftover,,,,2019-12-05,7,5,2,71.428571,12,0.791516,0.054279,5.51,0.08,68.207806,0.113074,0.155253,0.289098,0.042179,0.728319,0.504759,14.285714,42.857143,0,2,0,0,0,D22B556E4EEB0045EF1A9AC99E6654642156C35C8A39F273B2261CEAAB6B2155
start_date_origin,david_contra,protected_flatten_1q,eod_green_leftover,,,,2019-09-02,7,4,3,57.142857,9,0.59126,0.054288,5.62,0.19,29.508786,0.084466,0.119509,0.197802,0.035043,0.706774,0.556442,28.571429,28.571429,0,3,0,0,0.002425,E998E92046169A5BBDDA205266A02578AA50543BEFECF22FFA882C25D8826762
start_date_origin,triangle_v1_david_contra_extension,trail_1q_0_5q,trail_captured,,,,2020-01-02,3,3,0,100,8,1.270125,0.054352,5.44,0,,0.423375,0.56679,0.690096,0.143415,0.746969,0.722374,100,100,0,0,,0,0.037311,D18C397DBFB4DC6921F1455C2893AFCAF19424DE3312662CCB2246D21809E6D2
start_date_origin,triangle_v1_david_contra_extension,trail_1q_0_5q,target_captured,,,,2019-09-17,23,12,11,52.173913,24,1.36277,0.054822,5.82,0.34,17.039463,0.059251,0.063734,0.078134,0.004483,0.929657,0.957238,0,4.347826,0,0,0,0,0,07649D69E662BD432870894D3CC24025F37A91F904A71C83F516AFF5CD5F0146
start_date_origin,triangle_v0_no_candidate_b,trail_1q_0_5q,trail_captured,,,,2019-11-26,3,3,0,100,4,0.794813,0.054891,5.49,0,,0.264938,0.390081,0.094461,0.125143,0.679187,0.635163,100,33.333333,0,0,,0,0.039038,8267BD3008CB1721A6A8E2D64EA2620898D0CF96344A12B54C82139CE735534C
start_date_origin,david_contra,baseline,eod_green_leftover,,,,2019-12-05,6,5,1,83.333333,11,0.790387,0.054952,5.51,0.01,407.868133,0.131731,0.164571,0.309246,0.03284,0.800454,0.586992,16.666667,50,0,1,0,0,0,3039D83101AF969BC276F80A875AFEEFA73D694CDE49A005C5AEC0DC9D9C9C6C
start_date_origin,david_contra,lock_1q_stop_adds,eod_green_leftover,,,,2019-12-05,6,5,1,83.333333,11,0.790387,0.054952,5.51,0.01,407.868133,0.131731,0.164571,0.309246,0.03284,0.800454,0.586992,16.666667,50,0,1,0,0,0,72D1E93C9FEB621F6981384B849722AD99EC745BD35F8BDC776DCDF003A2D001
start_date_origin,david_contra,trail_1q_0_5q,trail_captured,,,,2019-06-13,7,7,0,100,20,1.314164,0.055281,5.53,0,,0.187738,0.314348,0.687437,0.126611,0.597228,0.569556,100,100,0,0,,0,0.186274,E9DDE44DA7FB35BF82DAE1FD1521D3EECC3846C4680467333ACA9C1EAE1ED93A
start_date_origin,david_contra,trail_1q_0_5q,trail_captured,,,,2019-07-15,7,7,0,100,13,1.166774,0.055287,5.53,0,,0.166682,0.278759,0.340148,0.112077,0.597943,0.570247,100,57.142857,0,0,,0,0.08454,9EEDFE57FAC462C35BAF7224A523E434396FD8E031AACDE8702E64B8967D4DE5
start_date_origin,triangle_v0_no_candidate_b,trail_1q_0_5q,target_captured,,,,2019-09-18,4,4,0,100,8,1.567847,0.055445,5.54,0,,0.391962,0.391962,0.418902,0,1,1,75,50,0,0,,0,0,BE785D9F2E9D1C79D2031BCE8EC35FA4789B4BF0CD0A1A999D3282924F062A14
start_date_origin,triangle_v1_david_contra_extension,trail_1q_0_5q,trail_captured,,,,2019-10-03,5,5,0,100,9,0.97804,0.055687,5.57,0,,0.195608,0.353708,0.339004,0.1581,0.553021,0.530778,100,80,0,0,,0,0.129058,C3D62C1C9C236CC0FB502342B8681F4964A2FC84581CF61E1426E8C013C0FB67
start_date_origin,triangle_v1_david_contra_extension,baseline,target_captured,,,,2019-08-21,3,3,0,100,4,0.69693,0.055705,5.57,0,,0.23231,0.23231,0.230741,0,1,1,33.333333,33.333333,0,0,,0,0,6B0A0CABD76BC0A41AC273807CEAA03D841AA8DBB2342D9D86796655921703DC
start_date_origin,triangle_v1_david_contra_extension,lock_1q_stop_adds,target_captured,,,,2019-08-21,3,3,0,100,4,0.69693,0.055705,5.57,0,,0.23231,0.23231,0.230741,0,1,1,33.333333,33.333333,0,0,,0,0,7A1C4F0359A023F416BF2B6A7E7EA14A97225D58DACEC3E3809A1F4427C5C522
start_date_origin,triangle_v1_david_contra_extension,trail_1q_0_5q,target_captured,,,,2019-08-21,3,3,0,100,4,0.69693,0.055705,5.57,0,,0.23231,0.23231,0.230741,0,1,1,33.333333,33.333333,0,0,,0,0,9EF8DE8D76DBEF8359C5BDBD64A6CF00C5A89B399796D5F0BC7D306004372F44
start_date_origin,triangle_v1_david_contra_extension,protected_flatten_1q,target_captured,,,,2019-08-21,3,3,0,100,4,0.69693,0.055705,5.57,0,,0.23231,0.23231,0.230741,0,1,1,33.333333,33.333333,0,0,,0,0,F86E2D9287BF3CDA9D464D420D361272059A9534502138D47278C3E87FBF5787
start_date_origin,david_contra,lock_1q_stop_adds,eod_green_leftover,,,,2019-10-11,3,2,1,66.666667,8,0.590049,0.055721,5.76,0.19,30.763179,0.196683,0.209393,1.251098,0.01271,0.939299,0.782982,33.333333,33.333333,0,1,0,0,0,974728DDC3CA775167C39A5E0F0A321006ECC64E16E9B1C4F1E848FC10FAF89D
