group_type,activation_rule_id,protection_mode,origin_class,live_state_class,pair,side,close_reason,start_date_et,close_event_count,win_count,loss_count,win_pct,fill_count,adr_normalized_return_pct,account_return_pct,gross_profit_usd,gross_loss_abs_usd,profit_factor,avg_realized_pnl_adr,avg_mfe_adr,avg_mae_adr_abs,avg_giveback_adr,aggregate_capture_ratio,avg_capture_ratio,mfe_1q_hit_pct,mae_1q_hit_pct,trail_addressable_loss_count,trail_no_activation_loss_count,trail_addressable_loss_pct_of_losses,trail_1q_1q_theoretical_improvement_adr,trail_1q_0_5q_theoretical_improvement_adr,content_hash
start_date_origin,triangle_v0_no_candidate_b,baseline,ugly_no_profit,,,,,2019-09-12,2,0,2,0,4,-0.31107,-0.025175,0,2.52,0,-0.155535,0.149902,0.685244,0.305437,-1.037578,-1.565039,0,100,0,2,0,0,0,5E43F0604A6AFF9354416D79571E0BCCF72B8FFA6504140F473BED7FD579DF06
start_date_origin,triangle_v0_no_candidate_b,baseline,ugly_no_profit,,,,,2019-12-10,1,0,1,0,3,-0.642603,-0.025119,0,2.51,0,-0.642603,0.015183,0.999081,0.657786,-42.323849,-42.323849,0,100,0,1,0,0,0,658B41FB50827A97A96255BFDAF9094CCCFD755F22C979975B991226D40615B7
start_date_origin,triangle_v0_no_candidate_b,baseline,adverse_no_profit,,,,,2019-10-16,1,0,1,0,2,-0.384023,-0.024512,0,2.45,0,-0.384023,0.137618,0.462599,0.521641,-2.7905,-2.7905,0,100,0,1,0,0,0,8349918B8137C14F6CEED6856A41A35BE6B87B48C7DDC48471D7397FB4D2155A
start_date_origin,triangle_v0_no_candidate_b,baseline,ugly_no_profit,,,,,2019-09-25,1,0,1,0,3,-0.475519,-0.023839,0,2.38,0,-0.475519,0.029347,1.055361,0.504866,-16.203326,-16.203326,0,100,0,1,0,0,0,D8C1BBEC8D23B25DC007EB0B843D230BCF061A9878E50897FB186B78588CE8A5
start_date_origin,triangle_v0_no_candidate_b,baseline,green_to_red_giveback,,,,,2019-10-15,1,0,1,0,2,-0.301316,-0.022835,0,2.28,0,-0.301316,0.344155,0.305068,0.645471,-0.875524,-0.875524,100,100,1,0,100,0.434282,0.539877,A9B6597197863798484E104827152102A1D73FF53C0243778AD97280BE0B1A5F
start_date_origin,triangle_v0_no_candidate_b,baseline,green_to_red_giveback,,,,,2019-05-10,1,0,1,0,2,-0.312194,-0.022656,0,2.27,0,-0.312194,0.448073,0.510676,0.760267,-0.696748,-0.696748,100,100,1,0,100,0.460267,0.610267,5657091D65F0E80A248DD85E0BE357B3FF15B722E75AC4A133280DC05ACCC87A
start_date_origin,triangle_v0_no_candidate_b,baseline,ugly_no_profit,,,,,2019-12-30,1,0,1,0,2,-0.470965,-0.021521,0,2.15,0,-0.470965,0.156954,0.603466,0.627919,-3.000656,-3.000656,0,100,0,1,0,0,0,F5FF639F24C478FF76304D211E0679C38CFCC993931F6F6653A59709B46B828E
start_date_origin,triangle_v0_no_candidate_b,baseline,green_to_red_giveback,,,,,2019-07-25,1,0,1,0,3,-0.404583,-0.019377,0,1.94,0,-0.404583,0.523104,0.909967,0.927687,-0.773427,-0.773427,100,100,1,0,100,0.627687,0.777687,E60AB457E62DC7CF03414DB658A10C12B4B399455078A49B8C3C8C29C8FCEDF4
start_date_origin,triangle_v0_no_candidate_b,baseline,ugly_no_profit,,,,,2019-06-06,1,0,1,0,2,-0.369815,-0.017919,0,1.79,0,-0.369815,0.057666,0.63116,0.427481,-6.413051,-6.413051,0,100,0,1,0,0,0,44E0D906221B43982C307FFA375625F28F6E63364F6D3145894231ADD36425E5
start_date_origin,triangle_v0_no_candidate_b,baseline,ugly_no_profit,,,,,2019-05-07,1,0,1,0,2,-0.336201,-0.017886,0,1.79,0,-0.336201,0.138218,0.85977,0.474419,-2.432397,-2.432397,0,100,0,1,0,0,0,7DAB386234C10FEBE61EF0FE0E09326E03E01DB6C32E31169ED354D6C2844F01
