symbol,variant_id,trades,corrected_net_actual,corrected_profit_factor,terminal_liquidations,avg_hold_hours,content_hash
CHFJPY,adr_event_0_025_type3_both_no_direction,5798,-54483.7,0.269147,365,399.687998,6E8C794C4F752B6303F1565B48C0FF39B6A030630C7096457AFF81541E2F1325
EURAUD,adr_event_0_025_type3_both_no_direction,7671,20580.57,3.960809,49,84.681945,65048CFAE850C9AE4F7333ADF2EEC633DB872D6948CDBC3C6CE45EAA16AEBF32
EURCAD,adr_event_0_025_type3_both_no_direction,1806,5462.6,6.748206,98,86.59463,F1CA944964E0EE2F97551C9F962F603EDD7E48BB03153C1979B874B93ECE04F3
EURCHF,adr_event_0_025_type3_both_no_direction,1571,904.7,1.157299,524,378.390835,5DB2F0EE16882FC0FDDF7218E107E0EE1BB285DF835D3E7C8363590DC7C33296
EURJPY,adr_event_0_025_type3_both_no_direction,4034,-4069.06,0.754576,229,248.448703,738D3AF82BBF917DFB26D5A5D19D280D97146DB88F10DF83BF5F8AD42A766037
EURNZD,adr_event_0_025_type3_both_no_direction,7188,10100.83,1.831628,184,132.988647,BC1F287390A37E39D3D6DD461A4DE2B7D634D36E2E4395FAC54C5FC924B345C0
EURUSD,adr_event_0_025_type3_both_no_direction,7195,21578.62,2.670654,206,280.00685,800D8F7EFB7549F373BD615C18D0A352F8DD8CEAF43304F5BFAC1BD5BB82DFB6
GBPAUD,adr_event_0_025_type3_both_no_direction,9110,34201.43,90.685978,27,119.201839,7ECEE96BB91BE7CC73BEC0BBF72F453A7431FB0D86410E2E93862D35C32F651E
GBPCAD,adr_event_0_025_type3_both_no_direction,7959,17944.48,2.616563,201,283.094116,8DF4939BA6E2F539F2C63E6017AD1B5F520F412721D990C4FDFC65D501386BC2
GBPCHF,adr_event_0_025_type3_both_no_direction,7370,41684.88,20.960816,161,172.262105,50BB90363614860C5E5F25B5EB427CE2E4D197543394DCE4608A41A7D0E1FA46
GBPJPY,adr_event_0_025_type3_both_no_direction,4659,-1127.22,0.9433,195,181.449607,C6A49DA9D8E823C56BC254C7CF313760ECAC9A32C398AAC75AF1F90846E0E41A
GBPNZD,adr_event_0_025_type3_both_no_direction,7519,11359.63,2.068557,185,201.755926,935356CFD91DF4081E72BF7FF2246B259777B01F3FF2EF317CC592DAFFB588C9
GBPUSD,adr_event_0_025_type3_both_no_direction,1977,8769.89,5.739616,54,69.63329,511B0A0609115FDAAD73993A800CC658DC562612ADAF43C62FA3099F72DFA1BD
NZDCAD,adr_event_0_025_type3_both_no_direction,6878,17073.76,4.547538,221,250.512189,67E122E46321E50A638FFF8BAEDEC823084E406D58DEF40A5E7593AE1452DEE9
NZDCHF,adr_event_0_025_type3_both_no_direction,9287,-140.53,0.996807,932,992.500656,3F3EB0A9CC291FC12216431B8BE10704D3E3E9816A4F4212EFED7FF26C698A5F
NZDJPY,adr_event_0_025_type3_both_no_direction,8352,-9731.44,0.73365,422,348.869827,2C205768B18347F96416EF5B21D70352599B7D3BDC9F75E7B9B7F107DB570695
NZDUSD,adr_event_0_025_type3_both_no_direction,7983,25303.4,3.590512,260,285.103319,4CD3300AE15EC0B7F1934D7A9EDDBB53181FCA7F56F20F87AE3771369DB9FC6E
USDCAD,adr_event_0_025_type3_both_no_direction,5416,12075.6,3.127459,339,200.423639,F475BF08F52A56DFEB56CFDF92D4706ED3DDAA433E590D5265910549173DE20D
USDCHF,adr_event_0_025_type3_both_no_direction,6683,20388.38,2.379972,334,236.962662,CCED034E06FA6FDEE906D32FB9AD22302B7D3E238955718AECD9B3F0B0571DDA
USDJPY,adr_event_0_025_type3_both_no_direction,4150,8069.04,1.984871,126,186.614092,3B339364BAC1A5002CDFA723D2F54A0E84FDCE10DF47252C6477D92CFDDF5E84
AUDCAD,adr_event_0_025_type3_long_only,7195,22951.57,,0,101.479991,8200889BF96CE82BFFFABA13B11D9BF8FC83C8ECBF1139CBEAA26DC45BDE127F
AUDCHF,adr_event_0_025_type3_long_only,3970,18052.45,9.541581,81,951.264216,E3D571E0F8BD1EAFA8713C216925F6D26C6F25C2D3236BEBEE01F4D9C9753FFA
AUDJPY,adr_event_0_025_type3_long_only,4530,17605.14,1198.680918,17,48.981838,9D4D1EAA5F976F79317CAFA4C189BEAC13DFFF4FA4E0B65AD6AC3DCC454EFC3D
AUDNZD,adr_event_0_025_type3_long_only,6166,15753.45,12.80728,101,114.77461,A4995F87765A5CEDA6C7499EA0B14B2A68E7C290AC2B4839D7DDAE8238A5DFA5
AUDUSD,adr_event_0_025_type3_long_only,7989,38499.03,,0,114.696083,5C410522C3D91839A9F9C6EBE7C7275A42C5617538CBC6C9077187B3E19EE27F
CADCHF,adr_event_0_025_type3_long_only,726,3596.2,16.448707,98,108.90395,C356B936E3EE2F6B0ADFB0F31099124D77817F70F5AD31F5750FEBFE91EAD30A
CADJPY,adr_event_0_025_type3_long_only,1275,3755.46,72.198655,72,39.228195,CB135DF605544BD3BEFA9E2EA7AF70AF27A2B6173F2998E2BC57C99D245EC9CC
CHFJPY,adr_event_0_025_type3_long_only,746,2682.54,,0,14.72994,646502EF4DB23D80F79B2DAA4D262A5712D8EFF996E36C5719AE2DF0A813EDD7
EURAUD,adr_event_0_025_type3_long_only,2844,3000.99,1.443717,23,162.764416,F9CB8BDFF8FA42C0E138FC7559427017E14741EEBBFE0514F50CFF655D45C659
EURCAD,adr_event_0_025_type3_long_only,1806,5462.6,6.748206,98,86.59463,E65731E2B80298FBA5D8ADEB010C7B3D03C2C21DFA8481240F7999AAFD43FA9F
EURCHF,adr_event_0_025_type3_long_only,673,-2844.29,0.272,404,262.647301,FFFEA907CFDAEC1B29860100C1D96AF0E4B876B0B91268C0796497225C1CA4BE
EURJPY,adr_event_0_025_type3_long_only,2077,6152.44,11.402063,71,65.986175,6B6DE2AA61EE9AAB546EE5424BADC77F5BD2434309F676FE74CCF66191A111A6
EURNZD,adr_event_0_025_type3_long_only,5023,2779.78,1.228867,184,117.658666,2DB92EC3BBFC02F2E399648E3EBB2204EEE3CBE8D5280ADEB94D39F63CF836DD
GBPCAD,adr_event_0_025_type3_long_only,4335,13638.24,6.660918,114,127.775849,2CBC4AB01817AA12F487ABFB38B7837DF3BC80178374496B85A228CB7B69E1B0
GBPCHF,adr_event_0_025_type3_long_only,733,3593.13,5.406345,105,144.677173,940714FA434D37F32FEFEC7898E4FD4663A5BFD189B054CF735F37C8FEC9FCEB
GBPJPY,adr_event_0_025_type3_long_only,2054,7113.37,26.358776,51,43.910907,8DDB79671DC888DAF823C4FECDF4BEC634CAFC7BD08F0380AD9219949FBCB9FA
GBPNZD,adr_event_0_025_type3_long_only,3399,356.03,1.039849,120,129.945477,E4940C24066F094CDAF6E50849742FDE339108A244C2FA9F85BDA646535E404E
NZDCAD,adr_event_0_025_type3_long_only,6111,19413.2,69.476422,55,266.103963,F769E019E562308E61E2189747ED81ABD1522DA0CEBA4043692CE94DACA1B3BE
NZDCHF,adr_event_0_025_type3_long_only,6985,-9069.72,0.783466,860,1172.19271,518EBB91A1E854DD7221C4F590DB57396D66BCBB91AF7FC7D921C3111A60C25E
NZDJPY,adr_event_0_025_type3_long_only,5914,19462.31,55170.837282,1,99.208003,07988B662E1A98AB3BCE301006BF5F8CB1AAFECF73887555E72AB5C501406649
NZDUSD,adr_event_0_025_type3_long_only,4786,21854.17,33.197008,32,285.461783,62D80BEF20F953F6828E5CDCF8F9812B858D39D4E74107CBB9FA3F534CD51950
USDCAD,adr_event_0_025_type3_long_only,3400,8255.72,3.79721,67,238.176127,7AAB9EA42081010A32D3B5AA77D57C724FC2B203C42005D6880F19807E8E6F7D
USDCHF,adr_event_0_025_type3_long_only,5527,13072.45,1.884799,334,264.46729,8BDC226AA08747F850DA6AC0A6947455E002F5D503D8AF2C6006F927AE7E9EB3
USDJPY,adr_event_0_025_type3_long_only,1900,6661.8,36.417117,45,47.629861,61E5415950CBF3D73A397868CF0B48421BB9C3D3FD7463A8DE5A6E2C52F8FBFB
AUDCAD,adr_event_0_025_type3_short_only,734,-242.29,0.879238,115,107.68945,869420D95F0C22F9B3993348E1A4DB94699EC9BB238A1C0179ED701A8F5C5375
AUDCHF,adr_event_0_025_type3_short_only,5430,-70670.53,0.240506,1278,822.940315,A6A907C664397C3833FC0B8D1C0BBB6ACDD59807BD449879FE99027476B71238
AUDJPY,adr_event_0_025_type3_short_only,4044,-89559.75,0.128983,587,739.400461,7DF9CE01422EC87F0FEE6827428FB9485B401C01DAE94E0C42B88EBA971C9252
AUDNZD,adr_event_0_025_type3_short_only,1103,-46662.27,0.032593,458,2685.31264,99C1DB840380D71F08F1BC3408B5E56611BB556678587D03113581B377024068
AUDUSD,adr_event_0_025_type3_short_only,904,2766.41,3.039497,70,127.879226,AAD5E472E6ED601B8662DB9AD1D434527ACBA03ED53DA75F59390194B69C18BB
CADCHF,adr_event_0_025_type3_short_only,7222,40907.15,51.247549,67,247.063298,42A120D3F58A7A467C64E0C522A385E5C84B0AE5344C8702215C8BC04D5C101D
CADJPY,adr_event_0_025_type3_short_only,5560,-18588.14,0.507944,367,462.920114,FB1DA8A42806F8C8E6218E74DD0848550CC7FC30FA25A25B1592F4F761B803C0
CHFJPY,adr_event_0_025_type3_short_only,5052,-57166.25,0.233163,365,456.532557,346E4A9CCB092229025AA79FC14C9C17054612ADCC1F79C170F98B0A09BA6EF8
EURAUD,adr_event_0_025_type3_short_only,4827,17579.58,94.656141,26,38.676859,8150DAF5771FCD3FF64AD99E48A1F380E85B09BAA9C3F6D44D74B751CB5684A0
EURCHF,adr_event_0_025_type3_short_only,898,3748.99,3.032552,120,465.13404,F0EEABE72D632687187B8FAB0CA79DAA12C4126D9224DD6FF91873C147C57FC0
EURJPY,adr_event_0_025_type3_short_only,1957,-10221.5,0.360686,158,442.099532,9BCF067FE9313C5E167E4D713B5D75A64CEB7946CAC108EBAEED9460920A0028
EURNZD,adr_event_0_025_type3_short_only,2165,7321.05,,0,168.555618,7565587213027D3CCE4A89DD0F9312F7D4276BDF39FCDFF0847EBC052479AE74
EURUSD,adr_event_0_025_type3_short_only,7195,21578.62,2.670654,206,280.00685,A58F8638D244D7BC11B7B82B02DFA530B4F7678616911CE33525B0938215F03C
GBPAUD,adr_event_0_025_type3_short_only,9110,34201.43,90.685978,27,119.201839,26B3AC9B32718981E7A9A25A4F5FF25DC31C370F71DC053D2FDC290539E8E725
GBPCAD,adr_event_0_025_type3_short_only,3624,4306.24,1.495472,87,468.884594,A889F80606E18B2C6C7E243598D8A1544843343427CE711E724DF662FC838B9A
GBPCHF,adr_event_0_025_type3_short_only,6637,38091.74,30.925402,56,175.308625,18521C42AFB84CB1308C1A02218CF1734F3B6530C8146BEE2C9A733B7DEEDBE9
GBPJPY,adr_event_0_025_type3_short_only,2605,-8240.59,0.579562,144,289.896628,BB5541B1CD3FB8E3174F3DF6D2AF7801A515E410D2E8D6A2652EF35645E45F04
GBPNZD,adr_event_0_025_type3_short_only,4120,11003.59,7.48694,65,260.999546,E5C7B55DD1AE9331A332483175EFD70DC570C9AC1AF86035724360849A45AE34
GBPUSD,adr_event_0_025_type3_short_only,1977,8769.89,5.739616,54,69.63329,E168181F180BDD89C88103E5298A771CEF611D50BC5F39225A33D9B4F986ABF6
NZDCAD,adr_event_0_025_type3_short_only,767,-2339.43,0.483494,166,126.286201,3497F80E9F78971F6245BE0CBDA7209168B85F34442E913077F5BE31A2E30881
NZDCHF,adr_event_0_025_type3_short_only,2302,8929.19,5.190939,72,447.257824,B598C6EE36BCBF5D0A839F546FE3CF2016873CA55689530DF9AB6DDBBF36A026
NZDJPY,adr_event_0_025_type3_short_only,2438,-29193.75,0.200959,421,954.489197,A21AE49BD2774A24FC9723693E7C8A9CA208DF45E22831A5596933E47A29BEF3
NZDUSD,adr_event_0_025_type3_short_only,3197,3449.23,1.379497,228,284.566688,4CD006C1DA7BF4B96A0E82A88F8CC3924E03D2EB820DF2C0FB7409609B9C2C31
USDCAD,adr_event_0_025_type3_short_only,2016,3819.88,2.401968,272,136.753769,3B325C508907C0DA710477C5F791F24B4E9C3FC839F1B3BBBA92775410C54AFE
USDCHF,adr_event_0_025_type3_short_only,1156,7315.93,,0,105.459133,E45E3D33BC8EF7D0A6571EBD95271233D6F8903E95446F9DA53D47964D9224D6
USDJPY,adr_event_0_025_type3_short_only,2250,1407.23,1.175796,81,303.978553,E7AFF7A9A47257F792F8712B087DB00EC470843ACFAAE3E91435CA468FD51C36
AUDCAD,adr_event_0_05_candidate_b_agreement_strict,305,1096.26,112.824927,2,84.592235,DFF97488A8E1F1144F2E312FF081B1E2C9146DD13B36DE924C4F988D156F1EDB
AUDCHF,adr_event_0_05_candidate_b_agreement_strict,150,755.69,,0,573.891222,D87BA2177FC493A3C1EA21ECED2E2875598FCD2790AD123A2F726FDC9B253C36
AUDJPY,adr_event_0_05_candidate_b_agreement_strict,1849,-18661.76,0.275557,189,403.404666,5F7283D6FB88D7E3D71196DC5C608E0C4DC17D93087386D0B4ABAA6DC3A6553B
AUDNZD,adr_event_0_05_candidate_b_agreement_strict,1064,-14336.11,0.13666,231,1060.714869,931565E6DFFB393E05E32F35746CD1DD38578AF8ADBC83E21E0D194F43C26B11
CHFJPY,adr_event_0_05_candidate_b_agreement_strict,817,-2274.18,0.615933,39,252.514383,AED5EBFF25233056F222317180F7E4D068893C2F8BE3550244FFC015DCD9A49B
EURAUD,adr_event_0_05_candidate_b_agreement_strict,559,2263.96,,0,142.448282,8E1BD324C67A5AD769F2BD0532052FFFCC0BF00CBC960FA2E15EF4CF056A1C5B
EURJPY,adr_event_0_05_candidate_b_agreement_strict,931,1036.86,1.299627,46,224.547771,057F94F0A91A9667270979E228BD9748076394B38402C8A1F0B8F103D0F1D603
EURNZD,adr_event_0_05_candidate_b_agreement_strict,795,2169.65,14.606901,2,105.122653,EB68887E81632CDD01CA4FB9E059B59AF9CD460FD18DE0771D3393A6EC42701C
EURUSD,adr_event_0_05_candidate_b_agreement_strict,184,966.74,6.357184,4,79.099728,541011C02B75471F0601F072D5032CDCB0A1EA942A94D1C2F61774F29BB0202F
GBPAUD,adr_event_0_05_candidate_b_agreement_strict,419,1818.56,,0,38.558394,D7DF1B6C1F3D83D7A801F939DF9D20CEDB4C62A7CB5C963AAA5EDCCF570D186D
GBPJPY,adr_event_0_05_candidate_b_agreement_strict,935,1690.79,1.43558,33,169.400997,6AC1BDA847167B906A3CC6332B4EF098F2BC1025D6745006E4CEC4737135574B
GBPUSD,adr_event_0_05_candidate_b_agreement_strict,41,75.33,1.803906,5,53.521463,F0C465591EA95BC1F9C7B96C3D064239FDF9C9AED1506C69ED72E9E7727FF185
NZDCHF,adr_event_0_05_candidate_b_agreement_strict,702,3588.24,251.33993,9,335.139029,CA45206F0C6FE7AB3ABFC6320D414949392CA311145083A86225A53CA24F7F02
USDCHF,adr_event_0_05_candidate_b_agreement_strict,116,356.03,2.251543,3,364.424315,897EE54FD1CF323C9099B1721643FE16AB0E1C613C041DFFC82F056536A1C87F
AUDCAD,adr_event_0_05_candidate_b_fade_strict,1534,5161.45,,0,108.110059,F22429BFAF14F390D7519169CFF24DB87CA7BAF1C50A6EB3D1C19B5D4A9F8285
AUDCHF,adr_event_0_05_candidate_b_fade_strict,1724,9295.75,62.180025,42,179.215593,8128E9956F10E27434E4B4DD649C679DCC96B3101C6D9DD4C54501353F699071
AUDJPY,adr_event_0_05_candidate_b_fade_strict,144,578.59,,0,100.568657,7F315B109C016171E01F9E378B1BCC1B58F377A47229551B83F0F1CBE3C324E6
AUDNZD,adr_event_0_05_candidate_b_fade_strict,605,1786.49,,0,174.927268,00CC8E10737624ED5F2E21B0E52C5B08DFCDDDF64D17D89971E45EA808A7DDF7
CHFJPY,adr_event_0_05_candidate_b_fade_strict,117,436.63,4.003338,2,87.148599,A0326056478048E6BD65CAC67BABB6954429FB4052F22C3FFCACE67D5A331ACB
EURAUD,adr_event_0_05_candidate_b_fade_strict,1192,4879.12,89.985908,6,81.793631,F95A034FD0D969E32A2690117D67BEC41934B810DF22CAE2510117F26497D8D4
EURJPY,adr_event_0_05_candidate_b_fade_strict,54,315.29,,0,13.718272,2B80C7BF873A89D7090312346E84099D4B62148BFCFB33D063E7CED7E795B22B
EURNZD,adr_event_0_05_candidate_b_fade_strict,884,2361.81,3.374079,31,393.328913,D346DB9FF85CF7D8957CB162C1DE9B2680F4B34409679E5B9EE653F04ABBB6EA
