pair,direction,entry_time,entry_price_raw,entry_price,stop,tp,exit_time,exit_price_raw,exit_price,pnl_pips,pnl_r,reason_exit,spread,slippage,session_ref_high,session_ref_low
AUDJPY,long,2021-07-19 03:45:00-04:00,80.946,80.95549999999999,80.865,81.346,2021-07-19 04:30:00-04:00,80.865,80.8555,-9.99999999999801,-1.1049723756904906,sl,1.5,0.2,81.336,81.003
GBPCHF,long,2021-07-19 03:50:00-04:00,1.26298,1.263075,1.26228,1.26698,2021-07-19 06:00:00-04:00,1.26458,1.264485,14.100000000001334,1.7735849056608148,time_stop,1.5,0.2,1.26524,1.26377
NZDJPY,long,2021-07-19 04:05:00-04:00,76.702,76.71149999999999,76.58999999999999,77.102,2021-07-19 04:35:00-04:00,76.58999999999999,76.5805,-13.099999999998602,-1.0781893004114298,sl,1.5,0.2,77.01,76.646
EURJPY,long,2021-07-19 04:05:00-04:00,129.431,129.44050000000001,129.36700000000002,129.83100000000002,2021-07-19 04:25:00-04:00,129.36700000000002,129.35750000000002,-8.29999999999984,-1.1292517006803169,sl,1.5,0.2,129.9,129.65
AUDCHF,long,2021-07-19 05:00:00-04:00,0.67782,0.677915,0.6772,0.68182,2021-07-19 06:00:00-04:00,0.67783,0.677735,-1.80000000000069,-0.2517482517483408,time_stop,1.5,0.2,0.67972,0.6778
EURCHF,long,2021-07-19 05:00:00-04:00,1.08466,1.084755,1.08416,1.08866,2021-07-19 06:00:00-04:00,1.08462,1.084525,-2.2999999999995246,-0.3865546218487238,time_stop,1.5,0.2,1.08566,1.085
USDJPY,long,2021-07-19 06:00:00-04:00,109.8,109.80949999999999,109.692,110.2,2021-07-19 06:05:00-04:00,109.733,109.72350000000002,-8.59999999999701,-0.7319148936168128,time_stop,1.5,0.2,109.987,109.85
EURCHF,long,2021-07-20 04:05:00-04:00,1.08291,1.083005,1.08207,1.08691,2021-07-20 06:00:00-04:00,1.08288,1.082785,-2.1999999999988695,-0.23529411764696104,time_stop,1.5,0.2,1.08358,1.08248
CADCHF,long,2021-07-20 04:05:00-04:00,0.71959,0.719685,0.7186,0.72359,2021-07-20 06:00:00-04:00,0.71936,0.7192649999999999,-4.20000000000087,-0.3870967741936276,time_stop,1.5,0.2,0.72103,0.71962
AUDCHF,long,2021-07-20 04:15:00-04:00,0.67246,0.672555,0.6718000000000001,0.67646,2021-07-20 06:00:00-04:00,0.67205,0.671955,-6.000000000000449,-0.7947019867550789,time_stop,1.5,0.2,0.67538,0.67212
AUDCHF,long,2021-07-21 03:45:00-04:00,0.67344,0.6735350000000001,0.67232,0.67744,2021-07-21 06:00:00-04:00,0.674,0.673905,3.6999999999987043,0.30452674897106746,time_stop,1.5,0.2,0.67631,0.67306
EURCAD,long,2021-07-21 05:50:00-04:00,1.49268,1.492775,1.492,1.49668,2021-07-21 06:00:00-04:00,1.49316,1.493065,2.900000000001235,0.37419354838727054,time_stop,1.5,0.2,1.49662,1.49314
NZDCAD,short,2021-07-22 03:55:00-04:00,0.87497,0.874875,0.87613,0.87097,2021-07-22 06:00:00-04:00,0.87516,0.8752550000000001,3.80000000000158,0.30278884462163835,time_stop,1.5,0.2,0.87561,0.87386
EURCHF,long,2021-07-22 03:55:00-04:00,1.08223,1.082325,1.08124,1.08623,2021-07-22 06:00:00-04:00,1.08248,1.0823850000000002,0.6000000000017103,0.05529953917066441,time_stop,1.5,0.2,1.08244,1.08178
EURUSD,long,2021-07-23 03:35:00-04:00,1.17733,1.177425,1.17634,1.18133,2021-07-23 05:25:00-04:00,1.17634,1.176245,-11.799999999999589,-1.0875576036865955,sl,1.5,0.2,1.17805,1.17694
GBPJPY,long,2021-07-23 04:00:00-04:00,151.64,151.6495,151.53,152.04,2021-07-23 06:00:00-04:00,151.682,151.67249999999999,2.2999999999996135,0.192468619246849,time_stop,1.5,0.2,151.819,151.628
CADCHF,long,2021-07-23 04:20:00-04:00,0.7317,0.7317950000000001,0.73098,0.7357,2021-07-23 06:00:00-04:00,0.73264,0.7325449999999999,7.499999999998064,0.9202453987726318,time_stop,1.5,0.2,0.73196,0.73138
GBPCHF,long,2021-07-23 04:30:00-04:00,1.26293,1.263025,1.26211,1.2669300000000001,2021-07-23 04:35:00-04:00,1.26211,1.262015,-10.099999999999554,-1.103825136611974,sl,1.5,0.2,1.26626,1.26512
